,Imagepath,Animal,Labels
0,/content/train/b9f96dd0c9f3dc7e755d9b8cbb124f3b.jpg,1,boston_bull
1,/content/train/f706682a30021cc74cd9416dac25e943.jpg,1,dingo
2,/content/train/8f3e10fab6ea57479f91a5c6efc11351.jpg,1,pekinese
3,/content/train/65a3a8d1011f95e937d77e3a79700dad.jpg,1,bluetick
4,/content/train/324759773574e9bd6d6ba9c58e1550f9.jpg,1,golden_retriever
5,/content/train/448a19d0d6e8297339b42a2f51e824b2.jpg,1,bedlington_terrier
6,/content/train/ed9c22ad21413691f548f5d72e7a76d9.jpg,1,bedlington_terrier
7,/content/train/30f2346a18ad08659cd3c9b24328a60e.jpg,1,borzoi
8,/content/train/b52bb521afa1dfe802a27a8939a8c7d0.jpg,1,basenji
9,/content/train/7ff9004706a91d585b8ec5c70ed661f9.jpg,1,scottish_deerhound
10,/content/train/09c62a1ff26b3e83a2d476c2add054b1.jpg,1,shetland_sheepdog
11,/content/train/680a84b9565cf178d95cc02b6f66969e.jpg,1,walker_hound
12,/content/train/bbf5a9514379e83803f3c27ffdd8869a.jpg,1,maltese_dog
13,/content/train/5b903adeb4c923ba3046929c7062927a.jpg,1,bluetick
14,/content/train/03b9ab173e5862580909fee10f0ea46d.jpg,1,norfolk_terrier
15,/content/train/29af5684098bf507ac2566deef4be960.jpg,1,african_hunting_dog
16,/content/train/e21bbd2082fe9e256d856c9482aaac8c.jpg,1,wire-haired_fox_terrier
17,/content/train/3d160295116b1d249fef3690061dfcb2.jpg,1,redbone
18,/content/train/151474b992b295f69547839e31271dd0.jpg,1,lakeland_terrier
19,/content/train/62b930bc746b25a1a68518194c0ef059.jpg,1,boxer
20,/content/train/685b0a223c6ec08677df6800250d8cfd.jpg,1,doberman
21,/content/train/f99c0ede8bf16d5e94a3a69ffb97b341.jpg,1,otterhound
22,/content/train/ffc2b6b9133a6413c4a013cff29f9ed2.jpg,1,otterhound
23,/content/train/3fc2dde0964144cd07747c740469e60b.jpg,1,bedlington_terrier
24,/content/train/4b5b818436bd7a7a83fbb02b9880727c.jpg,1,dingo
25,/content/train/590e2389b5c33cce2f5ad01f3fe91373.jpg,1,golden_retriever
26,/content/train/2febdc2d2ada6a4a8b5bcfddc36fe8ad.jpg,1,standard_schnauzer
27,/content/train/9967da09835c2259a11196be6783c2f3.jpg,1,irish_water_spaniel
28,/content/train/e63ce7912e8a260513f3d4d9db3eaa62.jpg,1,black-and-tan_coonhound
29,/content/train/21e691dfa94dd0d8399a5c47bd9e96da.jpg,1,cairn
30,/content/train/dd1306492b2087d880af68186b145604.jpg,1,affenpinscher
31,/content/train/daccbd24a803594b1860570d839ae3bf.jpg,1,labrador_retriever
32,/content/train/aa199e6564bd8d92f50f83275f628389.jpg,1,ibizan_hound
33,/content/train/0a77d498ff491945347bb895d8ae4008.jpg,1,english_setter
34,/content/train/bd3086afcdf8d1571c615fe7c7472e11.jpg,1,walker_hound
35,/content/train/33bed0b3d39633e869ce50873d22ed3a.jpg,1,weimaraner
36,/content/train/613da54ceb88a1a4cd64d66307ffc92c.jpg,1,giant_schnauzer
37,/content/train/94c4a769c0b1944dcaefbf2588952a44.jpg,1,golden_retriever
38,/content/train/a4ca7f2c41ef46180fddf84d300a6341.jpg,1,boston_bull
39,/content/train/88c2229b86b2fecb775bd4a6b2c863d4.jpg,1,groenendael
40,/content/train/035b459eb52acba2ae75bed041b368fe.jpg,1,lakeland_terrier
41,/content/train/e467353f2da5b49fc7a8e9835b22fe0e.jpg,1,irish_water_spaniel
42,/content/train/1853938d8adf8942d927f5fae8b9ec0c.jpg,1,dhole
43,/content/train/f591763666758b806f71459819ce8602.jpg,1,dingo
44,/content/train/2772c0c2962911f330bb59457f91dbf8.jpg,1,affenpinscher
45,/content/train/5ce1816545af31c8cfd10612c74e0675.jpg,1,toy_poodle
46,/content/train/dd2026cafded2318431c3c78f5026fc9.jpg,1,border_terrier
